frame,timestamp,x,y,vx,vy,speed,heading_deg,pred_x,pred_y,det_conf,heading_confidence,speed_confidence,pos_cov_trace,vel_cov_trace
1,0.0333,198.982,310.85,-0.0068,0.0019,0.007,164.014,198.979,310.851,0.5551,0.149,0.134,21.8182,239.9998
2,0.0667,198.192,310.934,-0.2935,0.0324,0.2953,173.708,198.046,310.95,0.3047,0.3077,0.1979,11.5017,238.6212
3,0.1,197.857,311.692,-0.6219,0.7948,1.0091,128.041,197.546,312.089,0.3289,0.3145,0.203,8.0201,234.5557
4,0.1333,272.435,311.256,133.8413,-0.0381,133.8413,-0.016,339.355,311.237,0.3373,0.3223,0.2096,6.4493,226.8736
5,0.1667,257.617,311.728,84.3632,1.1777,84.3714,0.8,299.799,312.317,0.4439,0.3326,0.2187,5.7006,215.1949
6,0.2,245.783,312.124,38.1831,2.3014,38.2524,3.449,264.875,313.275,0.4938,0.346,0.2311,5.3683,199.8353
7,0.2333,296.779,311.879,212.7483,1.1727,212.7516,0.316,403.153,312.466,0.3545,0.3628,0.2468,5.2492,181.7405
8,0.2667,341.059,311.606,349.0762,0.0262,349.0762,0.004,515.597,311.619,0.2472,0.3827,0.266,5.2254,162.2138
9,0.3,379.343,311.363,447.0272,-0.8696,447.0281,-0.111,602.857,310.928,0.2341,0.4051,0.288,5.2272,142.5675
10,0.3333,411.91,311.108,510.5338,-1.6831,510.5366,-0.189,667.177,310.266,0.3392,0.4293,0.3123,5.2173,123.856
11,0.3667,439.054,310.909,545.6196,-2.1749,545.6239,-0.228,711.864,309.822,0.3806,0.4545,0.3383,5.1797,106.762
12,0.4,460.813,310.965,557.4429,-1.7496,557.4457,-0.18,739.534,310.091,0.3691,0.48,0.3652,5.1115,91.6147
13,0.4333,478.687,310.902,555.2147,-1.767,555.2175,-0.182,756.294,310.018,0.3597,0.5053,0.3923,5.0162,78.4772
14,0.4667,492.421,310.828,540.9348,-1.8113,540.9378,-0.192,762.888,309.922,0.3344,0.53,0.4193,4.8999,67.2448
15,0.5,503.533,310.744,521.2884,-1.8784,521.2918,-0.206,764.177,309.805,0.3248,0.5536,0.4456,4.7692,57.7263
16,0.5333,455.856,310.469,345.8814,-2.4497,345.8901,-0.406,628.797,309.245,0.4377,0.5762,0.471,4.6296,49.6994
17,0.5667,414.093,310.65,209.2925,-1.777,209.3,-0.486,518.739,309.762,0.2845,0.5974,0.4954,4.4859,42.9434
18,0.6,377.251,310.78,102.4032,-1.3155,102.4117,-0.736,428.453,310.122,0.3899,0.6174,0.5186,4.3413,37.2562
19,0.6333,345.303,310.888,20.1804,-0.9618,20.2033,-2.729,355.393,310.408,0.4169,0.636,0.5405,4.1985,32.4609
20,0.6667,366.845,310.562,66.5068,-1.6154,66.5264,-1.391,400.099,309.754,0.2958,0.6535,0.5612,4.0591,28.4071
21,0.7,338.062,310.382,0.7077,-1.8828,2.0114,-69.399,338.416,309.441,0.3215,0.6697,0.5806,3.9243,24.9689
22,0.7333,359.003,310.146,43.2258,-2.2342,43.2835,-2.959,380.615,309.029,0.3054,0.6848,0.5988,3.7947,22.042
23,0.7667,332.77,309.974,-10.7273,-2.4244,10.9978,-167.265,327.406,308.762,0.3215,0.6988,0.6159,3.6707,19.5406
24,0.8,351.832,309.884,25.6401,-2.4429,25.7562,-5.442,364.652,308.662,0.153,0.7119,0.6319,3.5523,17.3941
25,0.8333,326.82,310.524,-20.9532,-1.1423,20.9843,-176.879,316.344,309.953,0.2015,0.7241,0.647,3.4397,15.5448
26,0.8667,304.867,310.761,-57.8301,-0.6657,57.834,-179.34,275.952,310.428,0.2015,0.7354,0.661,3.3326,13.945
27,0.9,285.49,311.188,-87.0256,0.0863,87.0257,179.943,241.977,311.231,0.5001,0.746,0.6742,3.231,12.5556
28,0.9333,307.233,311.189,-47.2109,0.0827,47.2109,179.9,283.627,311.23,0.3609,0.7558,0.6865,3.1345,11.3442
29,0.9667,327.169,311.11,-13.6144,-0.0446,13.6145,-179.812,320.362,311.088,0.3533,0.765,0.6981,3.0429,10.2843
30,1.0,345.471,310.916,14.7353,-0.3365,14.7391,-1.308,352.839,310.747,0.2252,0.7736,0.7089,2.9559,9.3534
31,1.0333,360.667,310.857,36.2691,-0.4051,36.2713,-0.64,378.801,310.655,0.2503,0.7817,0.7191,2.8734,8.5331
32,1.0667,373.932,310.841,53.3903,-0.4095,53.3919,-0.439,400.627,310.636,0.2309,0.7892,0.7286,2.795,7.8078
33,1.1,385.976,310.81,67.5405,-0.4328,67.5419,-0.367,419.746,310.594,0.2266,0.7962,0.7376,2.7205,7.1646
34,1.1333,396.757,310.734,78.9661,-0.5161,78.9678,-0.374,436.24,310.476,0.2219,0.8029,0.7461,2.6497,6.5924
35,1.1667,407.659,310.545,89.7381,-0.7388,89.7412,-0.472,452.528,310.176,0.3922,0.8091,0.754,2.5823,6.0819
36,1.2,385.245,310.611,57.53,-0.6248,57.5334,-0.622,414.01,310.298,0.3159,0.8149,0.7615,2.5181,5.6253
37,1.2333,395.633,310.543,67.9898,-0.6831,67.9932,-0.576,429.628,310.201,0.3348,0.8204,0.7686,2.457,5.2157
38,1.2667,405.303,310.486,76.9031,-0.7244,76.9066,-0.54,443.755,310.124,0.3431,0.8256,0.7752,2.3987,4.8475
39,1.3,413.937,310.409,84.0318,-0.7864,84.0355,-0.536,455.952,310.016,0.2291,0.8304,0.7815,2.3431,4.5156
40,1.3333,421.741,310.338,89.7688,-0.8376,89.7727,-0.535,466.626,309.919,0.2082,0.835,0.7875,2.29,4.2158
41,1.3667,428.591,310.262,94.0902,-0.8915,94.0944,-0.543,475.636,309.816,0.1691,0.8394,0.7931,2.2393,3.9444
42,1.4,434.601,310.218,97.2371,-0.9068,97.2413,-0.534,483.22,309.765,0.1631,0.8434,0.7984,2.1908,3.6983
43,1.4333,413.362,310.128,71.0124,-0.9714,71.019,-0.784,448.869,309.642,0.2599,0.8473,0.8034,2.1445,3.4746
44,1.4667,419.79,310.062,75.2705,-1.0065,75.2772,-0.766,457.425,309.559,0.1356,0.851,0.8081,2.1001,3.2709
45,1.5,428.948,309.719,82.0995,-1.3242,82.1102,-0.924,469.998,309.057,0.1782,0.8544,0.8126,2.0576,3.0851
46,1.5333,408.19,309.677,58.4493,-1.3222,58.4643,-1.296,437.415,309.016,0.228,0.8577,0.8168,2.0169,2.9154
47,1.5667,388.844,309.587,37.4294,-1.3669,37.4544,-2.091,407.559,308.904,0.1847,0.8608,0.8209,1.9779,2.7601
48,1.6,370.935,309.496,18.8749,-1.411,18.9276,-4.275,380.372,308.791,0.1278,0.8637,0.8247,1.9404,2.6178
49,1.6333,354.235,309.471,2.3977,-1.3901,2.7715,-30.105,355.434,308.776,0.1178,0.8665,0.8283,1.9045,2.4871
